trajectory,actual_t_mm,an_t_mm,fd_t_mm,cond
VI,143.78404514850806,35.487787829505564,324.2270234361644,8.167529795914803
VI,139.29281742297283,35.28395962875981,458.1608190793727,8.135854030323067
VI,140.73411180044528,34.73649942809921,516.641646811618,7.908678795835132
VI,152.58342760433018,37.289735483685405,227.3387439041824,7.708163280850438
VI,155.3584182942719,36.686682805177725,218.3553339050568,7.5674380040146065
VI,154.9310343215925,36.29281533857266,246.7985559870559,7.957989209266313
VI,151.60713963371862,36.14984150669761,251.0161896767133,7.621144288095181
VI,141.60235729512584,35.487614462782936,321.0706500569964,7.8810679901634835
VI,147.2192248697433,36.05377924884203,284.25654152837166,7.865771366615682
VI,142.97439667322945,36.08517026568845,276.03923841022737,8.116737956478394
VI,144.91023061336486,36.57749001535127,218.3344307245988,8.0037213477561
VI,149.922433238019,37.05364429193192,230.325299569292,8.037370339570408
VI,153.56907382298374,37.36265463052758,288.68756303304013,8.557837421408275
VI,153.83096097291065,39.20256597436294,368.8148173323987,7.905298252041277
VI,157.36190051746766,38.631153928972616,1172.8515964657813,8.047077909001368
VI,158.48341278192467,38.836919164796754,355.82398043061744,7.810522681629751
VI,163.0950185729123,40.70100427497847,253.0862979050291,7.530972712270148
VI,165.7026831257924,43.57844028924419,270.4006017618906,7.4499957262023955
VI,173.17186035793398,46.94525528247466,247.26214331284825,7.398381331433593
VI,179.55956163217843,53.58774072887517,316.87846191229005,7.393488789321592
VI,171.70794254473446,50.15141943314365,14610.236962847934,7.70306947055581
VI,157.97110075949666,40.9998556098546,248.401978254252,7.801088552110593
VI,169.00418317221917,47.51158127229302,344.1371844600015,7.695371789552897
VI,177.00262098992465,54.646365914352735,231.4784188671489,7.576411166649418
VI,181.34428975992185,57.42755097735383,255.61037113323025,7.731010198644134
VI,170.11749482180932,45.53934480509296,243.77557266239447,7.572667617247667
VI,165.7954790920251,40.75330560862852,404.2814307069498,7.2769742552068
VI,157.67035484980153,38.82101867770542,390.3454529836383,7.222116318171983
VI,155.9929060615343,38.626015106600846,326.23525542975665,7.301238004073198
VI,166.86330740421408,42.200442057516064,206.07942216061676,6.919683885357954
VI,172.5600364430163,47.0004586530003,204.17905444641443,7.387214512635441
VI,166.0177873164014,42.98573770609784,217.24208017426983,7.323881977110927
VI,161.4078916359028,40.88994037332331,316.86953304991613,7.35426163968428
VI,153.54050794159485,35.11431047706652,416.9757701875295,7.618726506585469
VI,150.8097917659292,37.75878541991916,344.84327789375027,7.428857211183399
VI,163.55080020957504,42.28867236184251,264.16221188886243,7.219960515678472
VI,167.325263815381,43.61827306078473,253.29890827294588,7.555635071409902
VI,167.48296442893144,43.20532786531389,277.0567269997227,8.0792332940519
VI,173.2980905011048,44.48791179556961,253.07989365676565,8.00545527284461
VI,160.92697247757445,37.54206812259684,516.4799690206514,8.004752375684934
VI,161.97352733197442,36.65005298434756,538.0821357663016,7.943827450973391
VI,158.55648138854312,37.04125637973449,286.1651217069032,7.85797535561288
VI,169.25049803969063,42.52570533853433,277.12779586093154,7.574336308148601
VI,171.0491960099045,41.7172901744907,233.20155131416203,7.272258342233513
VI,174.76772426031093,45.77136906256195,230.2076548085508,7.455619077584956
VI,171.943414156315,42.47191361832888,282.32653817657445,7.394797825869528
VI,164.07611949653568,40.257789287584416,337.929451838112,7.424112402165678
VI,153.70343685454984,37.1452890239416,307.5586838483276,7.690629552580375
VI,158.42411654808822,38.388984548068336,288.17330624755635,7.82921729085932
VI,157.00417428069878,38.66521214280866,371.6820562110184,7.892044920686339
VI,167.53618671274089,41.58430649694924,259.36643021542505,7.890018656633654
VI,166.73285885576394,41.29874364932586,320.138127308176,7.96305375174134
VI,169.2620621372592,42.93148008880148,342.93377332696724,7.705521199324379
VI,163.70390341946205,40.31408406874196,265.3867235967362,7.882405580545715
VI,163.90606551228535,39.21540847760584,253.8510996093746,7.83174871774173
VI,162.39453725152765,40.78937751544753,316.7348990062801,7.37134900669021
VI,170.18456764944426,43.41002403757298,353.911330702979,7.372327193210847
VI,168.83916811492188,44.3649009618302,316.7527990574385,7.47392878727369
VI,178.4287862168472,49.01430082345839,219.4845964926919,7.360061703510223
VI,173.70077073374077,49.962407809658735,348.9997735560271,7.643537639801478
VI,165.22863611562423,44.63294371754152,466.8727812947872,7.916320197993209
VI,159.5265427591356,39.92185917660668,408.9254841314448,7.755801650122947
VI,170.50493138468735,47.94023150359923,268.29324444170004,7.802911432149643
VI,177.1353425062904,50.9192124203665,238.05759956786,7.625804553899803
VI,181.9985815272385,54.84603506164075,275.43557577147385,7.859407066408729
VI,175.94615225493322,48.05897218717892,403.256055583332,7.5933557215270895
