trajectory,rms_mm,rms_pa_mm,actual_t_mm,fo_err_deg,fd_err_deg
VI,104.30692106047476,35.03575828692214,174.83160258803946,19.799512106791497,14.69145483950719
VI,106.1283311024162,34.101710061702924,173.27841526841158,12.942755858192006,22.610357532325995
VI,103.3115377828602,33.819535495787974,167.310165979794,13.660695078341469,12.676200946664709
VI,103.24668779127887,33.31005697026016,166.8503087931298,14.634794244754744,11.966338992290277
VI,102.84471373886126,34.12581167240779,163.45474572980507,14.324898818748268,11.073489909910027
VI,99.23971453055532,32.81413805260306,158.11114558873066,2.805396610129117,8.97700039423807
VI,103.30768402048776,35.08742336453679,165.33065612602093,5.616810221376894,17.632839330902343
VI,102.114731968812,37.21347138886545,165.99884288179572,12.610687752966705,22.909025747753514
VI,107.90356920378314,38.69131389623742,171.92132600705872,2.052653418088308,21.24970195707044
VI,104.1155479864514,38.0057527670626,168.59092057530876,4.053081316814195,12.598747340221149
VI,108.4679046344312,38.36102264106201,174.3921906232281,10.0060267232087,25.8208920604131
VI,106.12942091561308,37.47041650715616,174.0074545379087,15.874699739161306,23.20824982353499
VI,108.14724212852803,36.51265502350351,172.592187034783,25.75880675213175,14.042990567738581
VI,105.87882828186888,37.32693328821834,171.88605070046552,33.44682139220575,40.67355329869335
VI,97.9396642931036,33.89865967589413,165.0725285519483,26.85684873602435,10.406544215919546
VI,101.23303353801572,34.81472395993185,170.51316487948654,23.01573471218975,87.14715697368153
VI,107.11712223795756,36.94646450102512,174.7263179279266,24.10574516075688,12.222163790564423
VI,112.33777069096348,39.50978048733866,180.8345412964696,24.24860817893785,10.56605620490688
VI,113.42374038254476,39.79638743694332,181.7616946850981,24.90589269307838,50.73758021624027
VI,116.2574456023163,40.60973430259872,180.80941721024192,27.145797094056647,15.914391088465594
