dataset,order,scan,block_full,in_support,condition,kind,n_points,gt_norm,gr_norm,residual_rms_mm,trans_error_mm,rot_error_deg,patch_spread_mm
IV,5,5,0,False,raw,p2l,9463,0.05221413862037035,0.01186204101426236,62.74097039774961,100.97803531318792,1.4804122874079844,38.997219393895456
IV,5,5,0,False,N1,p2p,9463,0.020462831936005933,0.014669312427685788,54.15772004532183,88.23592307936377,1.3316184929968984,43.45219172195813
IV,5,5,0,False,N1,p2l,9463,0.01506958973289852,0.009975169218709392,50.253190940928164,88.03449595644378,1.4238531897961768,43.45219172195813
IV,5,5,0,False,N2,p2p,9463,0.017045777132267258,0.013308337106964684,53.698710187206835,92.03094804289901,3.1713134698483523,46.193762891981585
IV,5,5,0,False,N2,p2l,9463,0.011332680968074414,0.011039321542145805,49.803776281059854,91.06830725432734,3.8697795510065114,46.193762891981585
IV,5,5,0,False,N3,p2p,9463,0.03186556003925957,0.017468020564437633,61.601073207897336,98.99585282116715,1.5060367805500678,49.401377431467964
IV,5,5,0,False,N3,p2l,9463,0.029494797790099808,0.01372330363775564,58.31233386302918,97.92348515323447,1.6112816435609838,49.401377431467964
IV,6,6,0,False,raw,p2p,9502,0.05706952622090056,0.01595133712015065,66.16161062206005,100.87671958375533,1.2433668315510389,41.680406055600685
IV,6,6,0,False,raw,p2l,9502,0.053946798654272606,0.010783554064490731,63.15485762120227,98.66793453336616,1.1216691584261111,41.680406055600685
IV,6,6,0,False,N1,p2p,9502,0.019870843011742752,0.014232164275238447,54.167498302412874,86.84401438022101,1.1932112286251768,45.03992884116812
IV,6,6,0,False,N1,p2l,9502,0.014807497920258617,0.010311899844889788,50.34564256974845,84.98811821377876,1.1212230164704464,45.03992884116812
IV,6,6,0,False,N2,p2p,9502,0.01703840775027799,0.013018795660695389,53.86354648212498,90.28526953034135,3.0513976357534003,49.133307330992
IV,6,6,0,False,N2,p2l,9502,0.013779962960960093,0.011193258166433651,50.13613786819811,89.07562512888968,3.531778981091047,49.133307330992
IV,6,6,0,False,N3,p2p,9502,0.0325316910717519,0.017758419208049762,62.015808742068856,97.49663850556914,1.1857611735239533,51.218329587501444
IV,6,6,0,False,N3,p2l,9502,0.030262806137714655,0.014764336223407955,58.94401811046687,96.80113851062191,1.2925313505208866,51.218329587501444
IV,7,7,0,False,raw,p2p,9467,0.05767480666638899,0.016149736028166092,66.31111324262837,104.61576969421692,1.3948259143175263,43.435934467126806
IV,7,7,0,False,raw,p2l,9467,0.05440729568258768,0.013493798701733973,63.48269555239594,102.66520120372539,1.2474699380763898,43.435934467126806
IV,7,7,0,False,N1,p2p,9467,0.02023679539496019,0.014203187296850935,54.36743232662342,90.50045008994714,1.343159938359197,46.46045605106967
IV,7,7,0,False,N1,p2l,9467,0.015035178670363539,0.009406710636879858,50.39012469437705,90.09007037381464,1.236246385116392,46.46045605106967
IV,7,7,0,False,N2,p2p,9467,0.01702050068489459,0.012674023998175224,54.091550027650335,94.79155198347004,3.222423417617752,49.721369890598105
IV,7,7,0,False,N2,p2l,9467,0.011770331896999345,0.009127644327216763,50.25749752513688,93.79789860337884,3.6292830741541837,49.721369890598105
IV,7,7,0,False,N3,p2p,9467,0.03289189390740269,0.017922186888223487,62.2366661666485,102.10769810045907,1.5363454755376247,51.17249357650696
IV,7,7,0,False,N3,p2l,9467,0.031311438126366976,0.016412017972239748,59.235966394222444,100.33894348605429,1.6300610827275943,51.17249357650696
IV,8,8,0,False,raw,p2p,9455,0.05728919296432504,0.01662886176482401,66.77357031069673,107.08684470323989,0.947035261979181,43.7473539027736
IV,8,8,0,False,raw,p2l,9455,0.05409945905064828,0.013290286784827911,63.76729725451868,107.40898930121256,0.6964065575945106,43.7473539027736
IV,8,8,0,False,N1,p2p,9455,0.020924157509035406,0.015062970331763426,55.08851836799339,93.9862694854375,0.9338614293310887,47.50695939665998
IV,8,8,0,False,N1,p2l,9455,0.014164747822074213,0.009413582193554934,51.15667626141996,95.21671206593852,0.7151769014110129,47.50695939665998
IV,8,8,0,False,N2,p2p,9455,0.017525778047748027,0.013387806784675714,54.67694233577298,98.45347569851434,2.7798825232344497,50.98956294972256
IV,8,8,0,False,N2,p2l,9455,0.011729411811308274,0.00964878343535241,50.892719821423356,99.70090851505417,3.1031227645949504,50.98956294972256
IV,8,8,0,False,N3,p2p,9455,0.03333855872301598,0.018655513522479912,62.77417912391831,102.47647574301136,0.9582583549832996,53.56189327360476
IV,8,8,0,False,N3,p2l,9455,0.032564170819137185,0.017300432013409712,59.586045276454755,102.44940148355892,0.7875541268403898,53.56189327360476
