table,trajectory,method,block,n_frames,median_translation_mm,median_rotation_deg,axis,block_benefit
paired,III,Patch+Huber vs Patch LS,1,50,,,rotation,-0.09090194154098241
paired,III,Patch+Huber vs Patch LS,2,50,,,rotation,1.2324068367083727
paired,III,Patch+Huber vs Patch LS,3,50,,,rotation,0.14741610297093488
paired,III,Patch+Huber vs Patch LS,4,50,,,rotation,0.789700734237622
paired,III,Patch+Huber vs Patch LS,5,50,,,rotation,0.2671391699609685
paired,III,Patch+Huber vs Patch LS,6,50,,,rotation,-0.19292425593425794
paired,III,Patch+Huber vs Patch LS,7,21,,,rotation,-0.08305770763752562
paired,III,Patch+Huber vs Huber Raw,0,50,,,translation,16.111274250928954
paired,III,Patch+Huber vs Huber Raw,1,50,,,translation,17.69316553552853
paired,III,Patch+Huber vs Huber Raw,2,50,,,translation,36.978040372909604
paired,III,Patch+Huber vs Huber Raw,3,50,,,translation,37.722157483250676
paired,III,Patch+Huber vs Huber Raw,4,50,,,translation,25.324486651374706
paired,III,Patch+Huber vs Huber Raw,5,50,,,translation,18.81559115440691
paired,III,Patch+Huber vs Huber Raw,6,50,,,translation,-12.217120139092742
paired,III,Patch+Huber vs Huber Raw,7,21,,,translation,-0.7476153362449196
paired,III,Patch+Huber vs Huber Raw,0,50,,,rotation,-0.9648796642540187
paired,III,Patch+Huber vs Huber Raw,1,50,,,rotation,-1.0148453700153333
paired,III,Patch+Huber vs Huber Raw,2,50,,,rotation,0.3351002612471343
paired,III,Patch+Huber vs Huber Raw,3,50,,,rotation,-0.6425885526410176
paired,III,Patch+Huber vs Huber Raw,4,50,,,rotation,-1.1817945599174422
paired,III,Patch+Huber vs Huber Raw,5,50,,,rotation,-0.03343096526275574
paired,III,Patch+Huber vs Huber Raw,6,50,,,rotation,-0.508808670627812
paired,III,Patch+Huber vs Huber Raw,7,21,,,rotation,-0.7353897057698797
paired,III,Patch+Trim vs Patch LS,0,50,,,translation,6.416124291250345
paired,III,Patch+Trim vs Patch LS,1,50,,,translation,22.357248334864614
paired,III,Patch+Trim vs Patch LS,2,50,,,translation,27.77917493195738
paired,III,Patch+Trim vs Patch LS,3,50,,,translation,-19.58402571620865
paired,III,Patch+Trim vs Patch LS,4,50,,,translation,-18.268873262003446
paired,III,Patch+Trim vs Patch LS,5,50,,,translation,-6.786747135482964
paired,III,Patch+Trim vs Patch LS,6,50,,,translation,-1.1203221827531173
paired,III,Patch+Trim vs Patch LS,7,21,,,translation,15.37201600170723
paired,III,Patch+Trim vs Patch LS,0,50,,,rotation,-0.649152291651816
paired,III,Patch+Trim vs Patch LS,1,50,,,rotation,-0.08659959645243287
paired,III,Patch+Trim vs Patch LS,2,50,,,rotation,0.9850844837243027
paired,III,Patch+Trim vs Patch LS,3,50,,,rotation,-0.5066244806678951
