geometry,dtype,mag,form,n,et_med,et_lo,et_hi,eR_med,eR_lo,eR_hi,grad_med,grad_lo,grad_hi,on_bound
GA,CTRL_random_noise,100.0,trim,20,19.503555518504363,16.77854118490307,21.87847046812586,0.1831310291774535,0.1376048031858805,0.24574938758440068,,,,0.0
GA,D1_appendage_disp,0.0,huber,20,0.0196690090043641,0.015623131189656551,0.02299686917733175,0.0012071360778178,0.0009923933953079498,0.0014435999382832999,1.6311909539823184e-05,1.3627547831717212e-05,2.021479578178073e-05,0.0
GA,D1_appendage_disp,0.0,ls,20,0.0196690090043641,0.015623131189656551,0.02299686917733175,0.0012071360778178,0.0009923933953079498,0.0014435999382832999,3.262381907964629e-05,2.7255095663434452e-05,4.042959156356174e-05,0.0
GA,D1_appendage_disp,0.0,trim,20,0.02460695239051415,0.018838475369905065,0.02968532309846455,0.0013964355522268499,0.0011984189456273999,0.0018461621846371,,,,0.0
GA,D1_appendage_disp,2.0,huber,20,1.0762385216507087,1.071353457346584,1.1750639525165598,0.00597523070855615,0.0054361202553550505,0.00646380035509955,0.0010349060103019502,0.0010286118343536001,0.00113392208430885,0.0
GA,D1_appendage_disp,2.0,ls,20,1.0762385216507087,1.071353457346584,1.1750639525165598,0.00597523070855615,0.0054361202553550505,0.00646380035509955,0.002069812020604,0.0020572236687073,0.0022678441686177,0.0
GA,D1_appendage_disp,2.0,trim,20,1.0529318352828603,1.0410599230443223,1.15300887268151,0.006110577448641,0.0059502984896409004,0.00644609006598415,,,,0.0
GA,D1_appendage_disp,5.0,huber,20,2.7706031610308224,2.758073480415821,3.0084927456544306,0.01381829954052945,0.012396549252103501,0.014228884850059999,0.00256453444780165,0.0025549374270286,0.0028015733918743003,0.0
GA,D1_appendage_disp,5.0,ls,20,2.7706031610308224,2.758073480415821,3.0084927456544306,0.01381829954052945,0.012396549252103501,0.014228884850059999,0.0051290710488182,0.00510987574316185,0.00560315129597775,0.0
GA,D1_appendage_disp,5.0,trim,20,2.6809441977371518,2.669522436492163,3.1248795247323846,0.01485828891383115,0.0129258959424116,0.015593969878175,,,,0.0
GA,D1_appendage_disp,10.0,huber,20,8.928474981073958,8.614148232506896,8.94496797130541,0.015261354782067051,0.013375359050495101,0.016015768661725598,0.005087984978540801,0.00508240000264845,0.00556954099108495,0.0
GA,D1_appendage_disp,10.0,ls,20,8.928474981074032,8.61414823250689,8.944964597190477,0.0152613547820683,0.01337535905049305,0.01601576866172555,0.010187724894873101,0.01017651967721505,0.0111521710895253,0.0
GA,D1_appendage_disp,10.0,trim,20,11.053210860919837,10.851169563481744,11.059007677050822,0.0103124187372611,0.01011357924667765,0.010690498676029201,,,,0.0
GA,D1_appendage_disp,25.0,huber,20,21.64905381994984,21.194710951550796,21.688642803540038,0.0149675090377433,0.0121966082788878,0.01559075634711295,0.00885131114939525,0.00884803581128565,0.0096828499426212,0.0
GA,D1_appendage_disp,25.0,ls,20,18.66100615125641,18.58956413220676,19.022385793898877,0.0111832287565775,0.00697426837530835,0.012522558443899798,0.0255116180271415,0.025495805505288648,0.0279056925933415,0.0
GA,D1_appendage_disp,25.0,trim,20,25.346936299514834,25.279206543789755,25.35707219600595,0.00378868646604105,0.0034210654687801,0.0040643578341608005,,,,0.0
