scan,fold,method,et_mm,eR_deg,iters,on_bound
71,1,PatchOOF,109.79190328960297,4.930405709332278,26,0
71,1,PatchHuberOOF,87.48954156544812,4.048795641109452,40,0
71,1,PatchFullFit,109.77223450483655,4.894436213660616,25,0
72,1,Raw,155.51164313387608,5.238826228637381,40,0
72,1,Huber,133.58350666778014,4.698287101819908,31,0
72,1,PatchOOF,111.16822507874237,5.479992036531419,40,0
72,1,PatchHuberOOF,91.7586347580906,5.141463342796887,40,0
72,1,PatchFullFit,110.86400764312359,5.461294892795629,40,0
73,1,Raw,150.77622149254947,5.863306809914476,40,0
73,1,Huber,130.16828521549238,5.536822842541244,40,0
73,1,PatchOOF,108.96634559720452,6.158543052226812,40,0
73,1,PatchHuberOOF,92.42085709292411,6.029257452969205,40,0
73,1,PatchFullFit,108.3432981593289,6.1127366660395825,40,0
74,1,Raw,142.9207220869589,4.275587082881021,33,0
74,1,Huber,126.29950210974039,4.153179855104359,40,0
74,1,PatchOOF,104.10974270456174,5.166839860636675,26,0
74,1,PatchHuberOOF,85.88569146251021,4.877044003965233,40,0
74,1,PatchFullFit,103.65104311341074,5.1156617875926855,26,0
75,1,Raw,146.13187207268174,5.59600029584315,40,0
75,1,Huber,125.13824088863717,4.602627403071235,40,0
75,1,PatchOOF,108.91205466323176,6.428305041444855,40,0
75,1,PatchHuberOOF,83.1968230149424,5.523692194618954,40,0
75,1,PatchFullFit,108.23586554397455,6.385301225494455,40,0
76,1,Raw,140.4697413618283,4.249748948448347,24,0
76,1,Huber,126.84164381329954,3.7445362158493585,40,0
76,1,PatchOOF,100.90918353122075,5.181004731714501,28,0
76,1,PatchHuberOOF,79.32590898226442,4.400304236954405,33,0
76,1,PatchFullFit,100.06522079881218,5.121522874382144,31,0
77,1,Raw,145.17656821009552,4.97226731995777,24,0
77,1,Huber,130.1313138477612,4.459826687549701,40,0
77,1,PatchOOF,103.02013605422292,5.69963521827595,40,0
77,1,PatchHuberOOF,79.83789540117967,5.1867792920491995,40,0
77,1,PatchFullFit,102.46708104007348,5.659514267448774,40,0
78,1,Raw,149.5814655486203,5.447892661536706,40,0
78,1,Huber,131.92587918160444,4.953484437415936,40,0
78,1,PatchOOF,108.03725356350301,5.973362097148381,40,0
78,1,PatchHuberOOF,86.89485894546767,5.649992417870205,40,0
78,1,PatchFullFit,107.306901873411,5.962652737020765,40,0
79,1,Raw,153.23488733570827,3.745031076036531,27,0
79,1,Huber,132.83238662472073,3.483961598796269,40,0
79,1,PatchOOF,112.73495344387864,4.914227495699591,31,0
79,1,PatchHuberOOF,88.2375981844421,4.736015980075227,40,0
79,1,PatchFullFit,112.05036116964529,4.842557204879842,35,0
80,1,Raw,151.82725281081477,4.6317525542373374,40,0
80,1,Huber,131.62432603824226,4.300818839705783,40,0
80,1,PatchOOF,117.2050582231313,5.789857827884877,30,0
80,1,PatchHuberOOF,92.19181681681236,5.642895185919092,40,0
80,1,PatchFullFit,116.25891254080294,5.726859342644239,31,0
81,1,Raw,147.04226207341455,5.782638020649271,40,0
81,1,Huber,127.2344532533398,5.091473182270178,40,0
81,1,PatchOOF,115.03253693497432,7.276790187824031,40,0
81,1,PatchHuberOOF,94.4040291712675,6.3164415996427685,40,0
81,1,PatchFullFit,113.76125723959606,7.157817936553741,40,0
82,1,Raw,146.57261339987306,4.552655104406498,35,0
82,1,Huber,126.88007640625021,3.5901085186727335,40,0
82,1,PatchOOF,112.92300358011165,6.22755032511941,40,0
